Designator,Mid X,Mid Y,Rotation,Layer
D1,-16.637,-0.56,270.0,bottom
D2,-12.446,-0.56,270.0,bottom
J1,-15.542,16.712,180.0,top
J10,-26.416,-0.56,90.0,bottom
J11,-0.254,-18.594,0.0,bottom
J12,13.456,-18.562,0.0,bottom
J13,-20.649,-17.553,0.0,top
J2,-15.478,16.712,180.0,bottom
J3,-1.0,16.606,180.0,bottom
J4,-1.0,16.514,180.0,top
J5,-0.27,-16.964,0.0,top
J6,13.446,-16.964,0.0,top
J7,13.256,16.514,180.0,top
J8,25.964,7.06,90.0,top
J9,25.964,-6.402,90.0,top
LED1,9.525,4.652,270.0,top
MOD1,-8.8392,-9.1706,90.0,top
R1,-3.556,-6.148,0.0,top
R2,4.064,-2.846,180.0,top
SW1,-3.25,5.5,0.0,top
